,category_id,Category_name
0,1,Film & Animation
1,2,Autos & Vehicles
2,10,Music
3,15,Pets & Animals
4,17,Sports
5,18,Short Movies
6,19,Travel & Events
7,20,Gaming
8,21,Videoblogging
9,22,People & Blogs
10,23,Comedy
11,24,Entertainment
12,25,News & Politics
13,26,Howto & Style
14,27,Education
15,28,Science & Technology
16,30,Movies
17,31,Anime/Animation
18,32,Action/Adventure
19,33,Classics
20,34,Comedy
21,35,Documentary
22,36,Drama
23,37,Family
24,38,Foreign
25,39,Horror
26,40,Sci-Fi/Fantasy
27,41,Thriller
28,42,Shorts
29,43,Shows
30,44,Trailers
