CategoryID,caCatCount,deCatCount,frCatCount,gbCatCount,inCatCount,jpCatCount,krCatCount,mxCatCount,ruCatCount,usCatCount
1,288,329,331.0,97.0,83,346.0,260,299,466,127
2,55,156,155.0,13.0,6,93.0,27,43,200,56
10,659,659,1065.0,497.0,137,377.0,340,990,609,433
15,36,63,51.0,21.0,1,110.0,47,24,66,48
17,376,558,700.0,89.0,39,442.0,160,646,432,122
19,35,36,36.0,8.0,3,25.0,26,28,72,29
20,235,321,374.0,124.0,3,285.0,206,254,349,59
22,808,1193,1315.0,179.0,157,1204.0,1331,1893,2205,234
23,366,226,409.0,74.0,94,126.0,127,233,319,142
24,1254,1520,1111.0,322.0,572,1163.0,959,1692,725,449
25,531,527,563.0,58.0,214,265.0,359,342,631,105
26,208,187,297.0,77.0,41,141.0,87,281,303,178
27,105,121,116.0,31.0,45,33.0,55,116,171,61
28,95,143,126.0,32.0,24,32.0,31,90,169,153
29,22,39,28.0,3.0,5,7.0,20,45,206,10
43,3,5,,,1,,7,1,7,1
