Country,avg_likes,avg_dislikes,avg_comment,total_vids,total_views
CANADA,18657.65524034673,879.8270291568164,2342.1682427107958,40881,2707881149
DENMARK,14874.552341824157,847.2913722267872,1829.6128184059162,40840,2545047594
FRANCE,10894.700898203593,508.6839820359281,1142.3297904191618,40724,1962838695
GREAT BRITAIN,46257.696,1914.2104615384615,4704.643692307693,38916,2122672331
INDIA,13631.497896213185,1011.0301542776998,1508.90603085554,37352,660816013
JAPAN,6131.144117014412,265.05743170574317,775.9677349967735,20523,863400056
KOREA,8116.366312144447,532.4971555775414,1184.8896858768242,34567,1255061024
MEXICO,9283.78601117959,429.7200802637237,1166.6193206249104,40451,1529353706
RUSSIA,6959.863078920791,635.9046313663252,871.592410907517,40739,1155558365
U.S.A,27433.352514725873,1110.4195740824648,3340.599909379248,40949,1370730670
